country_name,year,rate,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use
South Korea,2016,0.0003430795488767,26.6704344134095,8.0,29280.4403170048,82.5,4.9,27.23846153846154
South Korea,2017,0.0003517275967331,26.0043671138493,7.9,31600.7358741365,88.0,5.2,27.23846153846154
Spain,2000,6.092045705266092e-05,16.0217993612102,11.4,14743.2671031455,69.0,19.8,35.0
Spain,2001,5.569321780581376e-05,15.8475793759903,11.4,15368.2337984435,78.9090909090909,20.2,31.707692307692312
Spain,2002,5.699559586786014e-05,15.5644729498625,11.2,17111.0685058941,78.9090909090909,20.6,31.707692307692312
Spain,2003,5.509721428589423e-05,15.2122004417795,10.9,21522.0170990262,78.9090909090909,21.0,31.707692307692312
Spain,2004,5.933546153865533e-05,14.8304822106943,11.4,24925.0267844576,78.9090909090909,21.3,31.707692307692312
Spain,2005,6.085858164511634e-05,14.4590386155595,11.7,26450.9530130382,74.0,21.5,33.3
Spain,2006,6.240377595601882e-05,14.0220409091183,11.6,28421.686527407,78.9090909090909,21.7,31.707692307692312
Spain,2007,6.428008333354327e-05,13.490557436925,11.1,32652.015594702,78.9090909090909,21.8,32.8
Spain,2008,6.611224230218478e-05,12.9746541971488,10.4,35603.248328071,78.9090909090909,21.9,31.707692307692312
Spain,2009,6.423593492466034e-05,12.584397187959,9.7,32279.8208476151,78.9090909090909,21.9,31.707692307692312
Spain,2010,6.587540033047636e-05,12.4298524075247,9.1,30658.7422282912,78.0,21.9,31.7
Spain,2011,6.714972991093359e-05,13.4200482874381,8.6,31824.6219134777,78.9090909090909,21.8,31.707692307692312
Spain,2012,7.063745421268491e-05,12.0395432976255,8.5,28456.4438151477,78.9090909090909,21.7,31.707692307692312
Spain,2013,7.441214317217527e-05,11.2505956077366,8.2,29218.9105170888,78.9090909090909,21.5,31.707692307692312
Spain,2014,7.288902306571424e-05,10.5798592110443,8.8,29694.8874886229,78.9090909090909,21.3,31.707692307692312
Spain,2015,7.294641623754919e-05,11.2555313002962,9.6,25969.8383138327,85.0,21.1,30.3
Spain,2016,7.5493779189807e-05,10.338836110853,10.7,26740.6851818829,78.9090909090909,20.8,31.707692307692312
Sweden,2000,0.0002280453380735,9.69526031154178,6.5,29632.7736101599,72.0,13.3,46.5
Sweden,2001,0.0002145023717352,9.49612942440913,6.5,27259.4806735435,81.14285714285714,13.6,31.825000000000003
Sweden,2002,0.0002167463337791,9.22155824913309,6.8,29957.9387652616,81.14285714285714,14.0,31.825000000000003
Sweden,2003,0.0002219482457898,8.91945432965492,6.8,37292.4214343004,81.14285714285714,14.3,31.825000000000003
Sweden,2004,0.0002389819576679,8.6377252099159,6.6,42758.2015503417,81.14285714285714,14.7,31.825000000000003
Sweden,2005,0.0002334740508331,8.4242784338573,6.6,43378.6152117149,76.0,14.9,39.4
Sweden,2006,0.0002349020266791,8.25715564450449,6.8,46531.6001120572,81.14285714285714,15.2,31.825000000000003
Sweden,2007,0.0002473458161949,8.09484166609447,6.9,53568.5645523213,81.14285714285714,15.3,36.9
Sweden,2008,0.0002497937747882,7.955908814386,7.1,55817.4392710726,81.14285714285714,15.5,31.825000000000003
Sweden,2009,0.0002575456436669,7.85892940513784,7.2,46707.8673215418,81.14285714285714,15.6,31.825000000000003
Sweden,2010,0.0002794794008652,7.82247575410873,7.3,52542.8274141037,81.0,15.7,33.4
Sweden,2011,0.000270601422831,7.91243933234096,7.3,60379.7748160321,81.14285714285714,15.7,31.825000000000003
Sweden,2012,0.0002694794418091,6.6090550437011,7.3,57749.8251328664,81.14285714285714,15.8,31.825000000000003
Sweden,2013,0.0002668274866664,6.56222856877152,7.3,60844.2767113975,81.14285714285714,15.8,31.825000000000003
Sweden,2014,0.0002784552899844,6.77228861428546,7.2,59583.7140001673,81.14285714285714,15.8,31.825000000000003
Sweden,2015,0.0002853995731088,6.30260504424704,7.2,51197.9529341175,84.0,15.9,28.3
Sweden,2016,0.0002804952554788,5.69783329212579,7.1,51820.3972482676,81.14285714285714,15.9,31.825000000000003
Sweden,2017,0.0002744773572703,6.06180356722068,7.1,53300.8587281785,85.0,16.0,31.825000000000003
Sweden,2018,0.0002865131536873,6.29086232136503,7.1,54181.9069780904,81.14285714285714,16.1,31.825000000000003
Sweden,2019,0.0002617275729304,6.06869269595507,7.1,51773.0464558993,85.0,16.1,31.825000000000003
Sweden,2020,0.0002375356701326,5.63670790600148,7.5,52653.7565934247,81.14285714285714,16.2,24.1
Sweden,2021,0.0002403079352393,7.538011125178941,7.014285714285714,61174.9680215622,85.0,16.3,23.3
Sweden,2022,0.0002129989657179,7.538011125178941,7.014285714285714,55296.9371472535,81.14285714285714,16.4,22.7
Switzerland,2000,9.551578454033864e-05,16.3078475386111,11.1,38865.021939688,75.0,12.0,28.3
Switzerland,2001,8.981801328715524e-05,15.9380919403534,11.1,39638.7911061864,82.0,12.2,26.923076923076923
